1;LÍNGUA PORTUGUESA; Variação linguística
1;LÍNGUA PORTUGUESA; Denotação e conotação
1;LÍNGUA PORTUGUESA; Ambiguidade
1;LÍNGUA PORTUGUESA; Nomes e referência
1;LÍNGUA PORTUGUESA; Verbos e advérbios
1;LÍNGUA PORTUGUESA; Pronomes dêiticos
1;LÍNGUA PORTUGUESA; Pronomes e coesão
1;LÍNGUA PORTUGUESA; Sujeito e predicado
1;LÍNGUA PORTUGUESA; Vozes verbais
1;LÍNGUA PORTUGUESA; Adjuntos adverbiais
1;LÍNGUA PORTUGUESA; Termos nominais: estratégias de caracterização
1;LÍNGUA PORTUGUESA; Orações substantivas: sentidos e efeitos
1;LÍNGUA PORTUGUESA; Orações adjetivas: explicação ou restrição
1;LÍNGUA PORTUGUESA; Orações adverbiais
1;LÍNGUA PORTUGUESA; Orações coordenadas
1;LÍNGUA PORTUGUESA; Registros linguísticos: formalidade e adequação
1;LÍNGUA PORTUGUESA; Regência
1;LÍNGUA PORTUGUESA; Crase
1;LÍNGUA PORTUGUESA; Pontuação
1;LÍNGUA PORTUGUESA; Concordância verbal
1;LÍNGUA PORTUGUESA; Processos de formação de palavras
1;LÍNGUA PORTUGUESA; Verbo: a categoria tempo
1;LÍNGUA PORTUGUESA; Verbo: a categoria modo
1;LÍNGUA PORTUGUESA; Verbo: usos da variedade culta
1;LÍNGUA PORTUGUESA;Entendimento de texto
1;LÍNGUA PORTUGUESA; Apreensão de sentido
1;LÍNGUA PORTUGUESA; Compreensão de sentido
1;LÍNGUA PORTUGUESA; Intertextualidade
1;LÍNGUA PORTUGUESA; Relações cúmplices e relações polêmicas
1;LÍNGUA PORTUGUESA; Distorções de leitura
1;LÍNGUA PORTUGUESA; Tipos de texto: descrição, narração e dissertação
1;LÍNGUA PORTUGUESA; Funções da linguagem: noções gerais
1;LÍNGUA PORTUGUESA; Funções da linguagem: referencial, emotiva e conativa
1;LÍNGUA PORTUGUESA; Funções da linguagem: metalinguística e fática
1;LÍNGUA PORTUGUESA; Recursos expressivos: a função poética
1;LÍNGUA PORTUGUESA; Gêneros textuais: contexto e função social
