ano;disciplina;conteudo
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA;Gramática e texto
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Textos temáticos e figurativos
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Textos não verbais e sincréticos: procedimentos de leitura
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Combinação de palavras: mecanismos de coesão frasal
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Sujeito e predicado: manobras de construção de sentidos no texto
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Satélites do verbo: papéis semânticos
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Argumentação: recursos de persuasão
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Funções do pronome se: papel argumentativo
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Satélites do nome I: papel semântico do adjunto adnominal e do predicativo
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Satélites do nome II: papel semântico do complemento nominal e do aposto.
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Papel do vocativo na interlocução
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Sintaxe dos pronomes pessoais na norma-padrão
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Coerência textual
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Coesão textual
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Orações subordinadas substantivas: descrição, norma e operações de sentido
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Orações subordinadas adjetivas: descrição, norma e operações de sentido
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Orações subordinadas adverbiais e reduzidas: relações de sentido
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Orações coordenadas: relações de sentido
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Tipos de texto: descrição, narração e dissertação
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Tipos de discurso e transposições
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Sinais de pontuação: marca de relação sintática e produção de sentido
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Regência: norma-padrão, marca de relação sintática e produção de sentido
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Crase: norma-padrão, marca de relação sintática e produção de sentido
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Concordância: norma-padrão e marca de relação sintática
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA;Redação
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Descrição, narração e dissertação a serviço dos gêneros
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Publicidade, quadrinhos e fotojornalismo: entre a descrição e a narração
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Artigos, editoriais e resenhas: variações dissertativas
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Narrador e focalização
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Elementos da narrativa: personagem, espaço e tempo
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Reportagem e crônica: dois gêneros narrativos clássicos
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; O texto dissertativo de caráter científico: efeito de objetividade
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Estrutura dissertativa ortodoxa
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Recursos argumentativos
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Propostas de intervenção
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Auditório e carta
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Adequação à proposta
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Atividades de criação
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA;Literatura
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; A estética realista
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Eça de Queirós
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Machado de Assis
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Aluísio Azevedo
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Estética da Belle Époque: Parnasianismo
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Estética da Belle Époque: Simbolismo e Impressionismo
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Pré-Modernismo
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Vanguardas artísticas europeias
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Fernando Pessoa
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Semana de Arte Moderna
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Oswald de Andrade
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Mário de Andrade
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Manuel Bandeira
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Modernismo dos anos 1930: panorama
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Carlos Drummond de Andrade
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Graciliano Ramos
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; João Cabral de Melo Neto
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; João Guimarães Rosa
2º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA; Clarice Lispector
2º ANO ENSINO MÉDIO;LÍNGUA INGLESA;" Text Comprehension; Present Perfect"
